Algorithm,Size,Cycle,Time,Memory
RUNNING,50000000,45000000,8.82,794376
REVERSE,50000000,45000000,8.83,794372
POINTSELF,50000000,45000000,22.82,1927384
RUNNING,50000000,45000000,8.95,794368
REVERSE,50000000,45000000,8.62,794388
POINTSELF,50000000,45000000,21.96,2002472
RUNNING,50000000,50000000,8.51,794368
REVERSE,50000000,50000000,8.49,794368
POINTSELF,50000000,50000000,23.70,2033736
RUNNING,50000000,50000000,9.37,794364
REVERSE,50000000,50000000,9.23,794384
POINTSELF,50000000,50000000,26.61,2071140
RUNNING,50000000,50000000,10.38,794372
REVERSE,50000000,50000000,9.56,794372
POINTSELF,50000000,50000000,28.96,1896756
RUNNING,50000000,50000000,10.02,794376
REVERSE,50000000,50000000,8.88,794380
POINTSELF,50000000,50000000,24.35,1899612
RUNNING,50000000,50000000,11.33,794376
REVERSE,50000000,50000000,9.28,794376
POINTSELF,50000000,50000000,25.73,1981196
